,WINFUT,DIFUT,Spread,Z-Score
2025-12-16,158578.0,0.13046,-14972.001453458448,-1.6554873893393962
2025-12-17,157327.0,0.1326,-11218.446344480384,-1.240448480385231
2025-12-18,157923.0,0.13289,-9944.258969899267,-1.0995587578700607
2025-12-19,158473.0,0.1319,-11709.450352090062,-1.2947398819216067
2025-12-22,158142.0,0.13288,-9748.644741436525,-1.0779292590083291
2025-12-23,160456.0,0.13262,-8042.6748014058685,-0.8892963810933711
2025-12-26,160897.0,0.1316,-9987.023498208437,-1.104287326561892
2025-12-29,160490.0,0.13154,-10534.338127432158,-1.1648051183546206
2025-12-30,161125.0,0.13176,-9384.851153611962,-1.0377037955765867
2026-01-02,160539.0,0.13043,-13081.15876807028,-1.4464127221604373
2026-01-05,161870.0,0.12995,-12872.675801859703,-1.4233602984396294
2026-01-06,163664.0,0.12987,-11265.76197415794,-1.2456802744438504
2026-01-07,161975.0,0.12983,-13048.305060307088,-1.4427800148658196
2026-01-08,162937.0,0.13011,-11431.503457263228,-1.2640066776321048
2026-01-09,163370.0,0.1307,-9618.742936563678,-1.0635657284885172
2026-01-12,163150.0,0.13022,-10961.25997035316,-1.212010812889601
2026-01-13,161973.0,0.12971,-13330.934318754473,-1.4740309584803024
2026-01-14,165146.0,0.13046,-8404.001453458448,-0.9292490699683169
2026-01-15,165568.0,0.13087,-7023.184820429946,-0.7765691139801544
2026-01-16,164800.0,0.13204,-5055.049550568103,-0.5589480344004634
2026-01-19,164849.0,0.1314,-6502.738928954059,-0.7190222580804846
2026-01-20,166277.0,0.13197,-3741.7499513290823,-0.4137335865042912
2026-01-21,171817.0,0.13105,-353.24093275889754,-0.03905863296894469
2026-01-22,175589.0,0.13027,1594.668887333246,0.1763260737956929
2026-01-23,178859.0,0.13007,4396.953456587624,0.48618089047882446
2026-01-26,178721.0,0.12977,3557.3803104691906,0.3933474266197897
2026-01-27,181919.0,0.12866,4159.559669831069,0.45993173324325554
2026-01-28,184691.0,0.12787,5084.083718385955,0.5621584066964599
2026-01-29,183134.0,0.12685,1141.7350215833285,0.1262441722353296
2026-01-30,181364.0,0.12697,-347.6357199692866,-0.03843885216564927
2026-02-02,182793.0,0.12718,1572.4654823135352,0.1738709940840866
2026-02-03,185674.0,0.12653,2933.3903323903796,0.32435147153691024
2026-02-04,181708.0,0.12702,113.29313771706074,0.012527073375727749
2026-02-05,182127.0,0.12675,-99.12269378948258,-0.010960215978888934
2026-02-06,182950.0,0.1267,606.9484485241119,0.06711163538381554
2026-02-09,186241.0,0.1264,3196.375302405737,0.35343030263371394
2026-02-10,185929.0,0.12687,3983.5065646579023,0.440465151145049
2026-02-11,189699.0,0.12646,6794.689931629342,0.7513039276178368
2026-02-12,187766.0,0.12636,4627.832216256589,0.5117096667273733
2026-02-13,186464.0,0.12625,3068.5887293465203,0.3393006579843968
2026-02-18,186016.0,0.12592,1848.8582686162554,0.20443235714906488
2026-02-19,188534.0,0.12605,4670.873298600898,0.5164688146119109
2026-02-20,190534.0,0.1254,5150.798148677684,0.5695351691405623
2026-02-23,188854.0,0.12521,3026.46848946932,0.33464332969269084
2026-02-24,191490.0,0.12501,5194.753058723756,0.5743953609797776
2026-02-25,191248.0,0.12521,5420.46848946932,0.5993532165036475
2026-02-26,191005.0,0.12476,4125.10877029167,0.4561224209134268
2026-02-27,188787.0,0.12611,5064.1879278245615,0.5599584850308288
2026-03-02,189307.0,0.12682,7244.577706971439,0.8010490162094991
2026-03-03,183105.0,0.12866,5345.559669831069,0.5910703822648907
2026-03-04,185366.0,0.12774,5455.068688401254,0.6031790371982627
2026-03-05,180464.0,0.12989,5581.0095689165755,0.6171045995316308
2026-03-06,179365.0,0.13179,8925.30616099987,0.9868908870640606
2026-03-09,180915.0,0.13247,12065.538625534973,1.3341133516618797
2026-03-10,183447.0,0.12999,8797.867284289387,0.972799687970766
2026-03-11,183969.0,0.13123,12219.702954912209,1.351159643299196
2026-03-12,179285.0,0.13396,13920.018584589707,1.539167311584422
2026-03-13,177653.0,0.13839,22647.91537560505,2.5042302070093947
2026-03-16,179875.0,0.13553,18181.584715942794,2.0103781253972386
2026-03-17,180410.0,0.13649,20961.6187835217,2.3177726547871362
